epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7725,2.45205,3.68417,1.82908,0.26345,0.26873,0.21257,0.08384,2.29177,3.01649,1.80696,0.000472155,0.000472155,0.000472155
2,32.7268,2.27148,2.848,1.65547,0.28351,0.25121,0.20483,0.07881,2.35001,2.7273,1.78071,0.000917188,0.000917188,0.000917188
3,47.9903,2.27059,2.63368,1.70849,0.31833,0.37948,0.30342,0.12155,2.16992,2.3549,1.70003,0.00133078,0.00133078,0.00133078
4,63.3695,2.27931,2.45128,1.68889,0.27563,0.21957,0.18194,0.07021,2.34464,2.84522,1.90171,0.00128753,0.00128753,0.00128753
5,78.1664,2.19553,2.29955,1.64665,0.27432,0.3545,0.30312,0.12156,2.15499,2.36483,1.70882,0.00124037,0.00124037,0.00124037
6,92.8366,2.20634,2.23149,1.63985,0.35181,0.41471,0.37203,0.1503,2.08169,2.10077,1.62005,0.00119322,0.00119322,0.00119322
7,108.571,2.16531,2.16961,1.61083,0.40785,0.39437,0.36425,0.15035,2.06732,2.11199,1.58834,0.00114606,0.00114606,0.00114606
8,123.678,2.13343,2.13493,1.5906,0.40695,0.40958,0.39141,0.16422,2.03883,2.12626,1.59533,0.0010989,0.0010989,0.0010989
9,138.81,2.12635,2.07219,1.57691,0.41616,0.39559,0.37773,0.15823,2.14615,2.12694,1.62843,0.00105174,0.00105174,0.00105174
10,153.93,2.09859,2.04832,1.5597,0.48674,0.46747,0.42743,0.18835,2.04612,1.96936,1.58643,0.00100459,0.00100459,0.00100459
11,168.924,2.05188,2.00122,1.56084,0.42011,0.37274,0.3693,0.16288,2.07974,2.11533,1.64349,0.00095743,0.00095743,0.00095743
12,183.938,2.03999,1.96267,1.53843,0.46046,0.49401,0.44062,0.19468,2.00743,1.96809,1.58504,0.000910273,0.000910273,0.000910273
13,199.534,2.0303,1.93369,1.52793,0.46016,0.50527,0.45765,0.20729,1.98531,1.95324,1.549,0.000863116,0.000863116,0.000863116
14,214.888,2.02666,1.89776,1.51205,0.44845,0.48502,0.45828,0.19835,2.00527,1.89802,1.53663,0.000815959,0.000815959,0.000815959
15,230.208,1.99257,1.86528,1.51064,0.4491,0.42813,0.43827,0.1756,2.05234,1.90576,1.5341,0.000768802,0.000768802,0.000768802
16,245.67,1.97832,1.85763,1.48881,0.47944,0.51166,0.49619,0.22392,1.96653,1.84993,1.52822,0.000721645,0.000721645,0.000721645
17,261.064,1.95171,1.7852,1.4719,0.46517,0.47414,0.44973,0.20305,1.98804,1.8893,1.54696,0.000674488,0.000674488,0.000674488
18,276.33,1.92044,1.79189,1.46964,0.46352,0.49599,0.4733,0.21805,1.95602,1.84662,1.50858,0.000627331,0.000627331,0.000627331
19,291.347,1.92765,1.74677,1.46306,0.48333,0.4508,0.46164,0.21039,1.97495,1.83916,1.52157,0.000580174,0.000580174,0.000580174
20,306.531,1.89715,1.71528,1.44184,0.49983,0.4901,0.49879,0.23282,1.94155,1.80349,1.50743,0.000533017,0.000533017,0.000533017
21,321.554,1.9023,1.75662,1.49803,0.51737,0.50977,0.49263,0.22112,1.98559,1.82167,1.52784,0.00048586,0.00048586,0.00048586
22,335.416,1.87604,1.65614,1.48603,0.57146,0.50741,0.52133,0.24127,1.96395,1.80294,1.51698,0.000438703,0.000438703,0.000438703
23,349.552,1.85064,1.61801,1.46536,0.53745,0.50348,0.51388,0.24359,1.93249,1.76968,1.49059,0.000391546,0.000391546,0.000391546
24,364.276,1.84153,1.61103,1.45588,0.51795,0.51676,0.50626,0.23374,1.95377,1.81051,1.52513,0.000344389,0.000344389,0.000344389
25,379.015,1.81364,1.55696,1.44444,0.5529,0.52623,0.51599,0.23906,1.95134,1.80508,1.51272,0.000297232,0.000297232,0.000297232
26,392.967,1.80909,1.52174,1.43887,0.5827,0.51105,0.52331,0.24864,1.9307,1.77243,1.49977,0.000250075,0.000250075,0.000250075
27,407.226,1.79482,1.51675,1.41983,0.56206,0.47412,0.52522,0.24843,1.91937,1.76602,1.48239,0.000202918,0.000202918,0.000202918
28,421.706,1.76997,1.46428,1.40517,0.51335,0.55216,0.53441,0.24577,1.97888,1.7412,1.52891,0.000155761,0.000155761,0.000155761
29,436.389,1.74781,1.451,1.39825,0.5303,0.54141,0.53559,0.2515,1.95279,1.74039,1.51268,0.000108604,0.000108604,0.000108604
30,450.913,1.72977,1.42041,1.37501,0.56318,0.53692,0.53978,0.25562,1.95136,1.75678,1.50948,6.1447e-05,6.1447e-05,6.1447e-05
